ANIO_VIAJE,MES_VIAJE,LOCATION_ID_SALIDA,ZONE_SALIDA,LOCATION_ID_LLEGADA,ZONE_LLEGADA,Borough_SALIDA,Borough_LLEGADA,TOTAL_VIAJES,TRIP_DISTANCE,TOTAL_TARIFA
2011,1,47,Claremont/Bathgate,78,East Tremont,Bronx,Bronx,10,12.780000000000001,59.8
2011,1,89,Flatbush/Ditmas Park,21,Bensonhurst East,Brooklyn,Brooklyn,5,16.7,53.3
2011,1,93,Flushing Meadows-Corona Park,114,Greenwich Village South,Queens,Manhattan,6,55.67,230.3
2011,1,48,Clinton East,109,Great Kills,Manhattan,Staten Island,1,23.9,54.9
2011,1,44,Charleston/Tottenville,84,Eltingville/Annadale/Prince's Bay,Staten Island,Staten Island,1,0.68,5.3
2011,1,32,Bronxdale,126,Hunts Point,Bronx,Bronx,1,9.72,25.3
2011,1,8,Astoria Park,43,Central Park,Queens,Manhattan,2,3.3,15.0
2011,1,13,Battery Park City,41,Central Harlem,Manhattan,Manhattan,75,671.0000000000002,1751.5
2011,1,95,Forest Hills,25,Boerum Hill,Queens,Brooklyn,9,112.82,281.7
2011,1,13,Battery Park City,68,East Chelsea,Manhattan,Manhattan,2806,8351.69999999999,28233.40000000006
2011,1,25,Boerum Hill,49,Clinton Hill,Brooklyn,Brooklyn,535,1026.6699999999996,4309.500000000002
2011,1,4,Alphabet City,41,Central Harlem,Manhattan,Manhattan,138,996.5299999999995,2706.6000000000017
2011,1,75,East Harlem South,4,Alphabet City,Manhattan,Manhattan,259,1467.8199999999993,4109.9000000000015
2011,1,50,Clinton West,45,Chinatown,Manhattan,Manhattan,277,1211.1900000000005,4029.3000000000015
2011,1,74,East Harlem North,127,Inwood,Manhattan,Manhattan,80,449.02,1242.7999999999997
2011,1,40,Carroll Gardens,66,DUMBO/Vinegar Hill,Brooklyn,Brooklyn,165,311.55999999999983,1366.4999999999995
2011,1,100,Garment District,71,East Flatbush/Farragut,Manhattan,Brooklyn,39,456.2800000000001,1219.5000000000002
2011,1,107,Gramercy,6,Arrochar/Fort Wadsworth,Manhattan,Staten Island,6,89.62,209.39999999999998
2011,1,108,Gravesend,108,Gravesend,Brooklyn,Brooklyn,22,24.32,192.6
2011,1,87,Financial District North,84,Eltingville/Annadale/Prince's Bay,Manhattan,Staten Island,4,93.97,203.2
2011,1,125,Hudson Sq,105,Governor's Island/Ellis Island/Liberty Island,Manhattan,Manhattan,3,7.34,27.500000000000004
2011,1,42,Central Harlem North,112,Greenpoint,Manhattan,Brooklyn,13,120.82000000000001,326.9
2011,1,90,Flatiron,102,Glendale,Manhattan,Queens,9,98.32000000000001,254.89999999999998
2011,1,93,Flushing Meadows-Corona Park,88,Financial District South,Queens,Manhattan,4,43.89,121.3
